,,,,,,,,,,
,Brand Code04,,,,"Brand ratings are provided on a 7-point scale, for pairs of brands. 
Thus, B34 is the rating of how similar brands 3 and 4 are perceived to be. That is, from the table at left, how similar brands MDH and the customer's ""Ideal"" brand are.
A score of 7 indicates that the respondent perceives the two brands are identical, while a score of 1 indicates that the brands are perceived to be very different.",,,,,
,B1,MDH,MDH,,,,,,,
,B2,Priya,PRY,,,,,,,
,B3,MyPick,MPK,,,,,,,
,B4,Ruchi,RUC,,,,,,,
,B5,Nolin's,NOL,,,,,,,
,B6,Mother's Recipe,MOR,,,,,,,
,B7,Ideal,IDL,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,